,City of Hamilton,Flamborough,Dundas,Ancaster,Glanbrook,Stoney Creek,Hamilton
Number of transit trips made to the area with cycle access,362,*,*,*,*,*,362
Number of transit trips made to the area with motorcycle access,*,*,*,*,*,*,*
Number of transit trips made to the area with taxi access,115,*,*,*,*,*,115
Number of transit trips made to the area with school bus access,*,*,*,*,*,*,*
Number of transit trips made to the area with paid rideshare access,*,*,*,*,*,*,*
Number of transit trips made to the area with other access,410,*,*,*,*,*,359
Number of transit trips made to the area with unknown access,*,*,*,*,*,*,*
Number of transit trips made to the area with auto driver egress,2696,555,253,295,320,275,999
Number of transit trips made to the area with auto passenger egress,1225,*,*,245,*,211,651
Number of transit trips made to the area with walk egress,73358,239,1309,1119,198,1994,68500
Number of transit trips made to the area with cycle egress,324,*,*,*,*,*,297
Number of transit trips made to the area with motorcycle egress,*,*,*,*,*,*,*
Number of transit trips made to the area with taxi egress,246,*,*,*,*,*,*
Number of transit trips made to the area with paid rideshare egress,*,*,*,*,*,*,*
Number of transit trips made to the area with school bus egress,*,*,*,*,*,*,*
Number of transit trips made to the area with other egress,357,*,*,*,*,*,305
Number of transit trips made to the area with unknown egress,*,*,*,*,*,*,*
Number of transit trips made to the area with 1 transit route,53596,671,1137,1229,193,1885,48482
Number of transit trips made to the area with 2 transit routes,22155,*,388,244,*,553,20720
Number of transit trips made to the area with 3 transit routes,2196,*,*,*,*,191,1611
Number of transit trips made to the area with 4 transit routes,339,*,*,*,*,*,195
Number of transit trips made to the area with 5 transit routes,*,*,*,*,*,*,*
Number of transit trips made to the area with 6 transit routes,*,*,*,*,*,*,*
Number of transit trips made to the area with GO Rail,4362,640,297,310,*,292,2681
Number of transit trips made to the area with GO Bus,4071,*,*,*,*,167,5605
Number of transit trips made to the area with TTC Subway/RT,1731,*,*,*,*,114,1086
Number of transit trips made to the area with TTC Bus/Streetcar,585,*,*,*,*,*,359
Number of transit trips made to the area with non-TTC local transit,70357,142,1276,1270,233,2229,65207
Number of transit trips made to the area with non-local transit,665,130,*,*,*,*,438
Number of transit trips made from the area with auto driver access,2813,572,272,312,320,326,1012
Number of transit trips made from the area with auto passenger access,1316,*,*,*,*,211,839
Number of transit trips made from the area with walk access,73331,244,1488,1073,449,2491,67587
Number of transit trips made from the area with cycle access,459,*,*,*,*,*,432
Number of transit trips made from the area with motorcycle access,*,*,*,*,*,*,*
Number of transit trips made from the area with taxi access,164,*,*,*,*,*,*
Number of transit trips made from the area with school bus access,*,*,*,*,*,*,*
Number of transit trips made from the area with paid rideshare access,*,*,*,*,*,*,*
Number of transit trips made from the area with other access,416,*,*,*,*,*,365
Number of transit trips made from the area with unknown access,*,*,*,*,*,*,*
Number of transit trips made from the area with auto driver egress,1039,*,*,*,*,*,1021
Number of transit trips made from the area with auto passenger egress,1446,*,*,*,*,*,1385
Number of transit trips made from the area with walk egress,75195,832,1815,1448,811,3118,67171
Number of transit trips made from the area with cycle egress,266,*,*,*,*,*,255
Number of transit trips made from the area with motorcycle egress,*,*,*,*,*,*,*
Number of transit trips made from the area with taxi egress,*,*,*,*,*,*,*
Number of transit trips made from the area with school bus egress,*,*,*,*,*,*,*
Number of transit trips made from the area with paid rideshare egress,*,*,*,*,*,*,*
Number of transit trips made from the area with other egress,482,*,*,*,*,*,431
Number of transit trips made from the area with unknown egress,*,*,*,*,*,*,*
Number of transit trips made from the area with 1 transit route,53360,666,1433,1229,443,2146,47443
Number of transit trips made from the area with 2 transit routes,22370,*,382,*,*,910,20717
Number of transit trips made from the area with 3 transit routes,2537,*,*,*,*,*,2077
Number of transit trips made from the area with 4 transit routes,352,*,*,*,*,*,218
Number of transit trips made from the area with 5 transit routes,*,*,*,*,*,*,*
Number of transit trips made from the area with 6 transit routes,*,*,*,*,*,*,*
Number of transit trips made from the area with GO Rail,4499,657,326,334,185,329,2668
Number of transit trips made from the area with GO Bus,5994,*,*,*,*,180,5619
Number of transit trips made from the area with TTC Subway/RT,1828,*,*,*,*,100,1313
Number of transit trips made from the area with TTC Bus/Streetcar,625,*,*,*,*,*,346
Number of transit trips made from the area with non-TTC local transit,70830,147,1455,1127,441,2705,64956
Number of transit trips made from the area with non-local transit,666,*,*,*,*,*,456
Number of transit trips made by residents with auto driver access,2845,589,272,312,320,326,1026
Number of transit trips made by residents with auto passenger access,1256,*,*,*,*,242,772
Number of transit trips made by residents with walk access,75959,786,2165,1368,723,2941,67976
Number of transit trips made by residents with cycle access,429,*,*,*,*,*,401
Number of transit trips made by residents with motorcycle access,*,*,*,*,*,*,*
Number of transit trips made by residents with taxi access,*,*,*,*,*,*,*
Number of transit trips made by residents with school bus access,*,*,*,*,*,*,*
Number of transit trips made by residents with paid rideshare access,*,*,*,*,*,*,*
Number of transit trips made by residents with other access,398,*,*,*,*,*,346
Number of transit trips made by residents with unknown access,*,*,*,*,*,*,*
Number of transit trips made by residents with auto driver egress,2737,554,272,312,320,275,1005
Number of transit trips made by residents with auto passenger egress,1124,*,*,*,*,211,661
Number of transit trips made by residents with walk egress,76296,825,2165,1352,723,3038,68194
Number of transit trips made by residents with cycle egress,294,*,*,*,*,*,267
Number of transit trips made by residents with motorcycle egress,*,*,*,*,*,*,*
Number of transit trips made by residents with taxi egress,243,*,*,*,*,*,*
Number of transit trips made by residents with school bus egress,*,*,*,*,*,*,*
Number of transit trips made by residents with paid rideshare egress,*,*,*,*,*,*,*
Number of transit trips made by residents with other egress,379,*,*,*,*,*,328
Number of transit trips made by residents with unknown egress,*,*,*,*,*,*,*
Number of transit trips made by residents with 1 transit route,54905,1151,1846,1167,511,2358,47871
Number of transit trips made by residents with 2 transit routes,23015,174,554,292,194,1003,20798
Number of transit trips made by residents with 3 transit routes,2743,104,*,308,*,291,1848
Number of transit trips made by residents with 4 transit routes,502,*,*,*,*,*,221
Number of transit trips made by residents with 5 transit routes,*,*,*,*,*,*,*
Number of transit trips made by residentsa with 6 transit routes,*,*,*,*,*,*,*
Number of transit trips made by residents with GO Rail,7810,1315,656,665,327,607,4240
Number of transit trips made by residents with GO Bus,4333,*,*,*,460,334,3467
Number of transit trips made by residents with TTC Subway/RT,3286,160,*,337,*,201,2187
Number of transit trips made by residents with TTC Bus/Streetcar,953,*,*,*,*,*,457
Number of transit trips made by residents with non-TTC local transit,71014,181,1760,1083,389,2823,64778
Number of transit trips made by residents with non-local transit,821,*,*,*,*,*,660
